status,reported,description,type,address,occurred
CLOSED,2019-03-15 09:29:00+00:00,Officer dispatched to assist Cambridge Police and Fire with a street closure due to a gas leak in the area. Officer,ASSIST CAMBRIDGE POLICE ,HOLYOKE ST CAMBRIDGE,"3/15/19
9:29 AM"
CLOSED,2019-03-15 10:41:00+00:00,"Officers while on patrol received a report that a large demonstration group was making their way towards Harvard Yard.    
Officers reported that the group traveled through the area without incident.",DEMONSTRATION,HARVARD YARD 1 PEABODY ST CAMBRIDGE,"3/15/19
10:50 AM - 11:00 AM"
CLOSED,2019-03-15 10:57:00+00:00,"Officer dispatched to take a report of past suspicious activity and unwanted telephone calls.                             
                                                                                                                          
Update 3/26/19: This case is closed pending any further investigation.",SUSPICIOUS ACTIVITY,HARVARD ALUMNI ASSOCIATION 124 MT AUBURN ST CAMBRIDGE,"3/14/18 - 6:30 PM
3/15/19 - 9:00 AM"
CLOSED,2019-03-15 13:13:00+00:00,"Officers dispatched to a report of several unwanted guests vaping on the second floor of the building. Officers arrived,  
located the individuals, and reported that they were collecting their belongings and sent on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/15/19
1:13 PM"
CLOSED,2019-03-15 13:54:00+00:00,"Officers dispatched to a report of two individuals attempting to gain entry into the garage. Officers arrived and reported
that the individuals were practicing parkour and no longer on the property.",SUSPICIOUS ACTIVITY,BROADWAY GARAGE 7 FELTON ST CAMBRIDGE,"3/15/19
1:54 PM"
CLOSED,2019-03-15 14:50:00+00:00,"Officer dispatched to a report of a possibly intoxicated unwanted guest in the area who refused to leave when requested.  
Officer arrived and reported individual gone on arrival.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/15/19
2:50 PM"
OPEN,2019-03-15 17:59:00+00:00,Officer dispatched to take a report of ongoing harassment.,HARASSMENT,HARVARD ALUMNI ASSOCIATION 124 MT AUBURN ST CAMBRIDGE,"3/12/19 - 9:00 AM
3/15/19 - 4:00 PM"
CLOSED,2019-03-15 22:28:00+00:00,"Officers dispatched to a report of the odor of marijuana coming from a room. Officers arrived and reported no suspicious  
odor or noise in the area.",SUSPICIOUS ACTIVITY,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,"3/15/19
10:28 PM"
CLOSED,2019-03-15 22:40:00+00:00,"Officers dispatched to a report of a loud party. Officers arrived and advised occupants of apartment 21 to keep the level 
of noise down.",LOUD PARTY,HASKINS HALL 28 IRVING ST CAMBRIDGE,"3/15/19
10:40 PM"
CLOSED,2019-03-15 23:53:00+00:00,"Officers dispatched to a report of several unwanted guests in the building. Dispatch then reported that the individuals   
had left the area and no further assistance was needed.",UNWANTED GUEST,HARVARD MEDICAL SCHOOL - C1 BU 240 LONGWOOD AVE BOSTON,"3/15/19
11:53 PM"
CLOSED,2019-03-16 02:35:00+00:00,"Officers dispatched to a report of a potential disturbance involving two motor vehicles parked in the area. Officers      
arrived and reported that the vehicles were gone upon arrival.",ASSIST BOSTON POLICE       ,N HARVARD ST / SOLDIERS FIELD RD ALLSTON,"3/16/19
2:35 AM"
CLOSED,2019-03-16 06:34:00+00:00,"Officer dispatched to a report of an individual with a machete striking a tree. Officer and Cambridge Police spoke to the 
individual and reported they were the property owner and performing landscape work.",ASSIST CAMBRIDGE POLICE ,BROADWAY / PRESCOTT ST CAMBRIDGE,"3/16/19
6:34 AM"
CLOSED,2019-03-16 10:51:00+00:00,Officer dispatched to take a report of vandalism done to a window on the side of the building.,VANDALISM,176 LINCOLN ST 176 LINCOLN ST ALLSTON,"3/16/19
10:51 AM - 11:18 AM"
CLOSED,2019-03-16 13:02:00+00:00,"Officers dispatched to a report of an individual causing a disturbance involving two other parties on the second floor.   
Officers arrived and reported all individuals gone upon arrival.",DISTURBANCE,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/16/19
1:02 PM"
CLOSED,2019-03-16 19:15:00+00:00,Officer took a walk-in report of an attempted theft of a bicycle and a damaged Sportsneer lock valued at $36.00.,THEFT REPORT,CENTER FOR GOVT AND INTER STUD 1737 CAMBRIDGE ST CAMBRIDGE,"3/4/19
7:55 PM - 10:00 PM"
CLOSED,2019-03-17 12:32:00+00:00,Officer dispatched to take a report of a past assault and battery.,ASSAULT REPORT,ATHLETICS - RUGBY 79 N HARVARD ST ALLSTON,"3/17/19
12:22 PM - 12:32 PM"
CLOSED,2019-03-17 19:08:00+00:00,"Officers dispatched to a report of two individuals yelling in front of the building. Officers arrived and reported both   
individuals were friends and kidding around. Officers reported that both individuals were sent on their way.",DISTURBANCE,ADAMS HOUSE A - WESTMORELY HAL 45 BOW ST CAMBRIDGE,"3/17/19
7:08 PM"
OPEN,2019-03-18 04:05:00+00:00,Officer dispatched to take a report of a stolen bicycle valued at $150.00.,THEFT REPORT,LITTAUER HKS 79 JFK ST CAMBRIDGE,"3/18/19
3:40 AM - 4:00 AM"
OPEN,2019-03-18 16:10:00+00:00,Officer dispatched to take a report of threats.,THREAT(S),SHAD HALL 70 N HARVARD ST ALLSTON,"3/15/19 - 6:10 PM
3/18/19 - 4:45 PM"
CLOSED,2019-03-18 23:31:00+00:00,Officer dispatched to a report of a past assault and battery.,ASSIST CAMBRIDGE POLICE,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/18/19 - 11:30 PM
3/19/19 - 0:01 AM"
OPEN,2019-03-19 01:06:00+00:00,"Officer followed-up on a past unlawful entry into the building. Complaints will be sought against an individual for       
Breaking and Entering with Intent to Commit a Felony and Trespassing.",THEFT REPORT,114 MT AUBURN ST 114 MT AUBURN ST CAMBRIDGE,"3/4/19
1:06 AM - 5:12 AM"
OPEN,2019-03-19 09:07:00+00:00,"Officer followed-up on a past unlawful entry into the building. Complaints will be sought against an individual for       
Breaking and Entering with Intent to Commit a Felony and Trespassing.",THEFT REPORT,114 MT AUBURN ST 114 MT AUBURN ST CAMBRIDGE,"2/19/19
5:00 AM - 6:00 AM"
CLOSED,2019-03-19 09:28:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,WARREN ALPERT BUILDING LOADING 200 LONGWOOD AVE BOSTON,"3/19/19
9:30 AM - 10:00 AM"
CLOSED,2019-03-19 10:10:00+00:00,Officer dispatched to take a report of suspicious telephone calls an office received.,SUSPICIOUS ACTIVITY,ANDOVER HALL 45 FRANCIS AVE CAMBRIDGE,"3/17/19 - 2:11 PM
3/18/19 - 6:01 PM"
CLOSED,2019-03-19 10:22:00+00:00,"Officer dispatched to a report of a disturbance. Officer arrived and reported that the disturbance had been a result of a 
misunderstanding, however, the issue had been resolved.",DISTURBANCE,DENTAL SCHOOL LOT 188 LONGWOOD AVE BOSTON,"3/19/19
10:22 AM"
CLOSED,2019-03-19 10:46:00+00:00,Officers dispatched to a report of a suspicious telephone call.,SUSPICIOUS ACTIVITY,COUNTWAY LIBRARY 10 SHATTUCK ST BOSTON,"3/19/19
10:39 AM - 10:40 AM"
CLOSED,2019-03-19 12:18:00+00:00,Officer dispatched to take a report of ongoing harassment.,HARASSMENT,JEFFERSON LAB 17 OXFORD ST CAMBRIDGE,"3/18/19
4:52 PM - 9:37 PM"
CLOSED,2019-03-19 12:25:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,VANDALISM,176 LINCOLN ST 176 LINCOLN ST ALLSTON,"3/18/19 - 7:00 PM
3/19/19 - 12:30 PM"
OPEN,2019-03-19 13:49:00+00:00,"Officer dispatched to take a report of three stolen Dell laptops valued at $4,200.00.",THEFT REPORT,28 TRAVIS ST 28 TRAVIS ST ALLSTON,"1/1/19 - 12:00 PM
3/1/19 - 12:00 PM"
CLOSED,2019-03-19 14:18:00+00:00,"Officer dispatched to take a report of a stolen brown Coach wallet valued at $80.00, credit/debit cards, an HUID, a       
license, and a Charlie card.",THEFT REPORT,SHAD HALL FITNESS CENTER 70-0 N HARVARD ST ALLSTON,"3/19/19
11:30 AM - 12:30 PM"
CLOSED,2019-03-19 18:09:00+00:00,"Officer took a walk-in report of two stolen checks and fraudulent account activity.                                       
                                                                                                                          
Update 4/11/19: Upon further investigation, this incident did not occur in HUPD Jurisdiction. This incident has been      
reclassified from Theft to Assist Other PD and closed pending any further investigation.",ASSIST OTHER PD,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,"3/15/19 - 11:05 AM
3/19/19 - 7:15 PM"
CLOSED,2019-03-20 08:11:00+00:00,"Officer while on patrol was approached about an unwanted guest in the area. Officer located the individual and sent them  
on their way.",UNWANTED GUEST,85-95 PRESCOTT STREET 85 PRESCOTT ST CAMBRIDGE,"3/20/19
8:11 AM"
CLOSED,2019-03-20 16:20:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,LONGWOOD LOT 200 LONGWOOD AVE BOSTON,"3/20/19
11:30 AM - 1:20 PM"
CLOSED,2019-03-21 09:54:00+00:00,Officer took a walk-in report of tagging/graffiti done to the front of the building.,VANDALISM,33-35 BANKS ST 33 BANKS ST CAMBRIDGE,"3/20/19
5:00 PM - 7:00 PM"
CLOSED,2019-03-21 09:57:00+00:00,Officer dispatched to take a report of a suspicious voicemail an office received.,SUSPICIOUS ACTIVITY,ANDOVER HALL 45 FRANCIS AVE CAMBRIDGE,"3/15/19
6:46 AM"
CLOSED,2019-03-21 10:50:00+00:00,Officer dispatched to take a report of a suspicious incident.,SUSPICIOUS ACTIVITY,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/20/19 - 12:00 PM
3/21/19 - 6:00 AM"
OPEN,2019-03-21 13:22:00+00:00,Officer while on patrol took a report of a past assault and battery.,ASSAULT REPORT,WARREN ALPERT BUILDING LOADING 200 LONGWOOD AVE BOSTON,"3/21/19
12:45 PM - 1:00 PM"
OPEN,2019-03-21 13:50:00+00:00,"Officer dispatched to take a report of four stolen wall mounts valued at $100.00, a black backpack valued at $40.00, and  
white Apple Airpods valued at $25.00.",THEFT REPORT,114 MT AUBURN ST 114 MT AUBURN ST CAMBRIDGE,"3/14/19 - 9:00 AM
3/21/19 - 9:00 AM"
CLOSED,2019-03-21 18:36:00+00:00,Officer dispatched to take a report of an attempted theft involving several pieces of mail.,THEFT REPORT,BOTANIC GARDENS C 20 FERNALD DR CAMBRIDGE,"3/21/19
12:00 PM - 5:00 PM"
CLOSED,2019-03-21 21:00:00+00:00,"Officers dispatched to a report of several unwanted guests yelling and smoking marijuana in the alleyway near the         
building. Officers arrived and reported individuals gone on arrival.",UNWANTED GUEST,UNIVERSITY LIBRARY 90 MT AUBURN ST CAMBRIDGE,"3/21/19
9:00 PM"
OPEN,2019-03-21 21:38:00+00:00,"Officers dispatched to a report of an individual who had fled the area with a bicycle and tire when requested to produce a
form of identification. Officers arrived and checked the area with negative results.",THEFT REPORT,ELIOT HOUSE A 101 DUNSTER ST CAMBRIDGE,"3/21/19
9:38 PM"
CLOSED,2019-03-22 02:31:00+00:00,"Officers dispatched to a report of an unwanted guest in the area. Officers arrived, located individual, and sent them on  
their way.",UNWANTED GUEST,JFK PARK 968 MEMORIAL DR CAMBRIDGE,"3/22/19
2:31 AM"
CLOSED,2019-03-22 08:07:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the alleyway near the building. Officer arrived, located  
individual and conducted a field interview. The individual was run for wants/warrants with negative results and sent on   
their way.",FIELD INTERVIEW,8 STORY ST 8 STORY ST CAMBRIDGE,"3/22/19
8:00 AM - 8:20 AM"
CLOSED,2019-03-22 12:44:00+00:00,Officer dispatched to take a report of a stolen bottle of Johnny Walker Blue Label Scotch Whiskey valued at $500.00.,THEFT REPORT,TATA HALL 53 HARVARD WAY ALLSTON,"3/19/19 - 10:30 PM
3/20/19 - 7:00 AM"
CLOSED,2019-03-22 14:05:00+00:00,Officer dispatched to take a report of a suspicious email.,SUSPICIOUS ACTIVITY,MASSACHUSETTS HALL 11 HARVARD YARD CAMBRIDGE,"3/22/19
12:25 PM - 2:20 PM"
CLOSED,2019-03-22 14:25:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the Blue Light Emergency Phone outside of the building.,VANDALISM,BYERLY HALL 8 GARDEN ST CAMBRIDGE,"3/21/19 - 8:00 AM
3/22/19 - 2:23 PM"
CLOSED,2019-03-23 02:08:00+00:00,"Officers dispatched to a report of three individuals yelling in the area. Officers arrived and reported all individuals   
were friends who were kidding around and all was in order.",DISTURBANCE,ROSOVSKY HALL 52 MT AUBURN ST CAMBRIDGE,"3/23/19
2:08 AM"
CLOSED,2019-03-23 12:02:00+00:00,"Officer while on patrol observed several unwanted guests sleeping in the building. Officer approached the individuals and 
conducted a field interview. Following the field interview, one of the individuals was issued a verbal trespass warning   
for all Harvard University property and all parties were then sent on their way.",TRESPASS WARNING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/23/19
12:02 PM - 12:54 PM"
CLOSED,2019-03-23 13:13:00+00:00,Officer dispatched to take a report of stolen clothing valued at $500.00.,THEFT REPORT,LEVERETT HOUSE TOWERS G 40 DEWOLFE ST CAMBRIDGE,"3/18/19 - 12:00 PM
3/20/19 - 6:00 PM"
CLOSED,2019-03-23 19:32:00+00:00,"Officer dispatched to a report of a possible assault in progress inside of a motor vehicle. Cambridge Police requested to 
respond. Officers and Cambridge Police arrived and reported motor vehicle gone on arrival.",ASSIST CAMBRIDGE POLICE ,65 MT AUBURN ST CAMBRIDGE,"3/23/19
7:32 PM"
CLOSED,2019-03-23 19:36:00+00:00,"Officers dispatched to a report of an unwanted guest in the building.  Officers arrived and reported individual gone on   
arrival.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"3/23/19
7:36 PM"
CLOSED,2019-03-24 02:50:00+00:00,Officer dispatched to take a report of vandalism done to the window of an entryway door.,VANDALISM,ADAMS HOUSE B - WESTMORELY HAL 45 BOW ST CAMBRIDGE,"3/24/19
0:01 AM - 1:45 AM"
CLOSED,2019-03-24 17:39:00+00:00,"Officers dispatched to a report of three individuals who had piggybacked into the building. Officers arrived and reported 
individuals gone on arrival.",SUSPICIOUS ACTIVITY,NAITO CHEMISTRY LAB 12 OXFORD ST CAMBRIDGE,"3/24/19
5:39 PM"
CLOSED,2019-03-24 22:58:00+00:00,"Officers dispatched to a report of a suspicious telephone call. Officers arrived to the area where the call originated    
from and reported caller gone on arrival.",SUSPICIOUS ACTIVITY,BRIGHTON MILLS SHOPPING CENTER 400 WESTERN AVE ALLSTON,"3/24/19
10:58 PM"
CLOSED,2019-03-25 10:29:00+00:00,"Officers dispatched to a report of an individual talking loudly to themself outside of the building. Officers arrived and 
reported individual gone on arrival.",SUSPICIOUS ACTIVITY,QUINCY HOUSE - STONE HOUSE 3 DEWOLFE ST CAMBRIDGE,"3/25/19
10:29 AM"
CLOSED,2019-03-25 11:11:00+00:00,Officer dispatched to take a report of annoying emails.,"ANNOYING
CALLS/TEXTS/EMAILS",LITTAUER HKS 79 JFK ST CAMBRIDGE,"3/19/19 - 1:01 PM
3/24/19 - 3:27 PM"
CLOSED,2019-03-25 12:49:00+00:00,"Officer while on patrol was approached by an individual in need of medical attention. Pro Ambulance was notified and      
Cambridge Police was requested at the scene. Individual was transported to a medical facility by Pro Ambulance.",ASSIST CAMBRIDGE POLICE ,ELIOT ST / JFK ST CAMBRIDGE,"3/25/19
12:20 PM - 12:45 PM"
CLOSED,2019-03-25 22:15:00+00:00,"Officers dispatched to a report of an individual talking to themself outside of the building. Officers arrived and        
reported individual gone on arrival.",SUSPICIOUS ACTIVITY,85-95 PRESCOTT STREET 95 PRESCOTT ST CAMBRIDGE,"3/25/19
10:15 PM"
CLOSED,2019-03-26 17:56:00+00:00,Officer dispatched to take a report of suspicious social media activity.,SUSPICIOUS ACTIVITY,POUND BUILDING 1563 MASSACHUSETTS AVE CAMBRIDGE,"3/24/19 - 0:01 AM
3/26/19 - 7:00 PM"
CLOSED,2019-03-26 21:11:00+00:00,"Officer dispatched to a report of a bicycle theft in progress. Officer arrived, located the individual, and conducted a   
field interview. The individual was run for wants/warrants with negative results. Cambridge Police then arrived on scene  
and took jurisdiction over the incident. Cambridge Police reported that a complaint with be sought against the individual 
for Receiving Stolen Property and that they would take possession of the blue Specialized Mountain Bicycle valued at      
$300.00.",ASSIST CPD - THEFT,LINNAEAN ST / MASSACHUSETTS AVE REPORT,"3/26/19
9:05 PM - 10:15 PM"
CLOSED,2019-03-27 07:52:00+00:00,"Officers dispatched to a report of an unwanted guest in the area. Officers arrived, located the individual, and sent them 
on their way.",UNWANTED GUEST,8 STORY ST 8 STORY ST CAMBRIDGE,"3/27/19
7:52 AM"
CLOSED,2019-03-27 13:44:00+00:00,"Officers dispatched to a report of individuals skateboarding in the area. Officers arrived and reported individuals gone  
on arrival.","SKATEBOARD/BIKE
COMPLAINT",GUND HALL 48 QUINCY ST CAMBRIDGE,"3/27/19
1:44 PM"
CLOSED,2019-03-27 15:27:00+00:00,Officer dispatched to take a report of vandalism done to the sign at the front entrance of the building.,VANDALISM,SACKLER MUSEUM 485 BROADWAY CAMBRIDGE,"3/27/18
8:15 AM - 8:20 AM"
OPEN,2019-03-27 17:19:00+00:00,"Officer took a walk-in report of ongoing harassment.                                                                      
                                                                                                                          
Update 3/29/19: Upon further review, this incident has been reclassified from Harassment to Threats.",THREAT(S),HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,"3/13/19 - 4:21 PM
3/27/19 - 5:25 PM"
CLOSED,2019-03-27 21:57:00+00:00,Officer assisted Cambridge Police with a street closure due to a motor vehicle accident in the area.,ASSIST CAMBRIDGE POLICE,HARVARD SQUARE 1 HARVARD SQ CAMBRIDGE,"3/27/19
9:57 PM"
CLOSED,2019-03-28 05:41:00+00:00,"Officer dispatched to a report of a motor vehicle idling near the loading dock. Officer arrived and reported that the     
motor vehicle had been delivering food.",MOTOR VEHICLE COMPLAINT,HARVARD UNIV. DINING SERVICES 80 JFK ST CAMBRIDGE,"3/28/19
5:41 AM"
CLOSED,2019-03-28 08:02:00+00:00,Officer dispatched to take a report of a previous unwanted guest in the building.,UNWANTED GUEST,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,"3/27/19
12:30 PM"
CLOSED,2019-03-28 13:56:00+00:00,Officer while on patrol took a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,SOLDIERS FIELD PARK LOT 111 WESTERN AVE ALLSTON,"3/28/19
1:56 PM - 2:15 PM"
OPEN,2019-03-28 14:11:00+00:00,Officer took a walk-in report of ongoing harassment.,HARASSMENT,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"2/1/18 - 12:00 PM
3/28/19 - 2:15 PM"
