Date,Day of Week,Time Reported,Type,Status,Location,Area,Description,Lat,Long
10-02-2019,3,4:31 PM,SUSPICIOUS ODOR/SMOKE,CLOSED,117 WESTERN AVE,ALLSTON,Officer dispatched to a report of a smoke coming from a trashcan. Officer arrived and reported that no smoke could be detected.,42.3651974,-71.1221999
10-02-2019,3,11:15 PM,TRESPASSING,ARREST,1 OXFORD ST,CAMBRIDGE,"Officer dispatched to a report of an unwanted guest who was observed in a Harvard building who has an active trespass warning for all Harvard University property. Officer arrived, located individual in the building an conducted a field interview. The individual was then informed that they were being placed under arrest for Trespassing and transported to Cambridge Police Department for booking.",42.376431,-71.1169182
10-02-2019,3,11:19 PM,SUSPICIOUS ACTIVITY,CLOSED,1 PEABODY ST,CAMBRIDGE,Officers dispatched to a report of an individual engaged in suspicious activity in the area. Officers arrived and reported that the individual was gone on arrival.,42.3758148,-71.1170678
10-02-2019,3,11:26 PM,FIELD INTERVIEW,CLOSED,10 HOLYOKE PL,CAMBRIDGE,"Officers dispatched to a report of an unwanted guest acting in an erratic manner in the building. Officers arrived, located individual and conducted a field interview. During the fiend interview, it was determined that the individual had an active trespass warning for the University. Officers determined that the individual needed to be assessed at a medical facility. The individual was transported by ambulance to a nearby facility.",42.3706508,-71.1186324
10-01-2019,2,12:54 AM,SUSPICIOUS ACTIVITY,CLOSED,2 PRESCOTT ST,CAMBRIDGE,"Officer dispatched to a report of an individual engaged in suspicious activity. Officer arrived, searched for the individual, and reported that they were gone on arrival.",42.372143,-71.1139363
10-01-2019,2,11:00 AM,SUSPICIOUS ACTIVITY,CLOSED,5 HARVARD YARD,CAMBRIDGE,Officers dispatched to a report of an individual possibly attempting to gain access into the building. Officers arrived and reported that the individual was gone on arrival.,42.3743896,-71.1162491
10-01-2019,2,12:02 PM,THEFT REPORT,CLOSED,1350 MASSACHUSETTS AVE,CAMBRIDGE,Officer dispatched to take a report of a stolen debit card.,42.372708,-71.1188362
10-01-2019,2,2:07 PM,UNWANTED GUEST,CLOSED,8 STORY ST UNWANTED GUEST,CAMBRIDGE,"Officers dispatched to a report of an individual playing loud music outside of the building. Officers arrived, located the individual, and sent them on their way.",42.3739234,-71.1220834
10-01-2019,2,5:39 PM,THEFT REPORT,OPEN,79 JFK ST,CAMBRIDGE,"Officer dispatched to take a report of a stolen black Giant bicycle valued at $400.00 and miscellaneous accessories valued at $160.00. The reporting individual informed the officer that their bicycle had been secured in the bicycle cage. Upon further inspection of the bicycle cage, officer reported that there had been a malfunction with the locking mechanism which caused the door to be left unsecured.",42.3709808,-71.1221527
10-01-2019,2,10:44 PM,UNWANTED GUEST,CLOSED,1 OXFORD ST,CAMBRIDGE,"Officers dispatched to a report of an unwanted guest refusing to leave the building. Officers arrived, located the individual, and sent them on their way.",42.376431,-71.1169182
10-01-2019,2,10:59 PM,ASSIST CAMBRIDGE POLICE,CLOSED,30 HOLYOKE ST,CAMBRIDGE,Officer dispatched to a report of a noise complaint. Officer and Cambridge Police arrived and reported that the area was quiet.,42.3715532,-71.1186479
10-01-2019,2,11:54 PM,LOUD PARTY,CLOSED,41 KIRKLAND ST,CAMBRIDGE,Officers dispatched to a report of a loud party. Officers arrived and reported that the occupants were dispersing for the evening.,42.3772966,-71.1123666
09-30-2019,1,12:35 AM,SUSPICIOUS ACTIVITY,CLOSED,219 WESTERN AVE,ALLSTON,Officer dispatched to take a report of several individuals who were observed loitering around the bicycle rack and fled the area upon being approached by a security guard.,42.3633391,-71.1308433
09-30-2019,1,8:02 AM,FIELD INTERVIEW,CLOSED,1585 MASSACHUSETTS AVE,CAMBRIDGE,"Officer dispatched to a report of an individual causing a disturbance inside of the building. Officer arrived, located the individual outside of the building, and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results but did show positive results for an active trespass warning for all Harvard University property. The individual was reminded of their warning and sent on their way.",42.3790947,-71.1187539
09-30-2019,1,9:47 AM,MOTOR VEHICLE ACCIDENT,CLOSED,200 LONGWOOD AVE,BOSTON,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,42.3358831,-71.1035154
09-30-2019,1,11:53 AM,PM,OPEN,1 WESTERN AVE THEFT REPORT,ALLSTON,"Officer dispatched to take a report of a stolen black Specialized Crosstrail bicycle valued at $300.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a lock and chain valued at $20.00, which was also stolen.",,
09-30-2019,1,12:44 PM,REMOVE GROUP,CLOSED,19 WARE ST REMOVE GROUP,CAMBRIDGE,"Officers dispatched to a report of several unwanted guests behind the building. Officers arrived, located the individuals, and sent them on their way.",42.3733735,-71.1129407
09-30-2019,1,1:05 PM,ANNOYING & ACCOSTING,CLOSED,12 WESTERN AVE,ALLSTON,Officer dispatched to take a report of annoying and accosting behavior.,42.3625895,-71.1228421
09-30-2019,1,1:10 PM,ANNOYING CALLS/TEXTS/EMAILS,CLOSED,665 HUNTINGTON AVE,BOSTON,Officer dispatched to take a report of annoying voicemails.,42.3354271,-71.1021288
09-30-2019,1,9:38 PM,VANDALISM,CLOSED,8 HARVARD YARD,CAMBRIDGE,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,42.3743896,-71.1162491
09-30-2019,1,10:33 PM,SUSPICIOUS ACTIVITY,CLOSED,1 PEABODY ST,CAMBRIDGE,Officers dispatched to a report of a possibly intoxicated individual engaged in suspicious activity. Officers arrived and reported that the individual was gone on arrival.,42.3758148,-71.1170678
09-29-2019,0,12:12 AM,NOISE COMPLAINT,CLOSED,21 SOUTH ST,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers and Cambridge Police arrived and advised occupants to keep the noise level down.,42.3715527,-71.1204742
09-29-2019,0,9:31 AM,TRESPASSING,ARREST,1350 MASSACHUSETTS AVE,CAMBRIDGE,"Officer while on patrol observed an individual who had an active trespass warning for all Harvard University property inside of the building. Officer approached the individual and conducted a field interview. During the field interview, the individual made several disruptive and volatile remarks towards the officer. At the conclusion of the field interview, the individual was informed that they were being placed under arrest for Trespassing. At this time, the individual began to actively resist the officer and clutched onto a beam in the immediate area. Additional officers then assisted and the individual was eventually separated from the beam. The individual was then transported to the Harvard University Police Department for booking and additionally charged with resisting arrest.",42.372708,-71.1188362
09-29-2019,0,10:34 AM,THEFT REPORT,CLOSED,22 HARVARD YARD,CAMBRIDGE,Officer dispatched to take a report of stolen U.S. currency valued at $225.00.,42.3743896,-71.1162491
09-29-2019,0,3:45 PM,THEFT REPORT,OPEN,260 LONGWOOD AVE,BOSTON,"Officer dispatched to take a report of a stolen red and black bicycle valued at $1,000.00. The reporting individual informed the officer that their bicycle was secured to the bike rack with a cable lock that was damaged and left at the scene.",42.3369505,-71.1041268
09-29-2019,0,4:15 PM,DISTURBANCE,CLOSED,267 WESTERN AVE,ALLSTON,"Officers dispatched to a report of an individual engaged in a disturbance. Officers arrived, located the individual, and reported that they were no longer located on University property and not engaged in any disruptive behavior at the time.",42.3634728,-71.1329508
09-29-2019,0,6:09 PM,THEFT REPORT,CLOSED,60 LINNAEAN ST,CAMBRIDGE,Officer dispatched to take a report of a stolen package containing a passport.,42.3812398,-71.1246959
09-29-2019,0,6:54 PM,PROPERTY DAMAGE,CLOSED,5 SACRAMENTO ST PROPERTY DAMAGE,CAMBRIDGE,Officer dispatched to a report of damage to a window screen. Officer arrived and reported that the screen was likely damaged as a result of individuals sitting on the sill.,42.3827998,-71.1187923
09-29-2019,0,8:14 PM,SUSPICIOUS ACTIVITY,CLOSED,42 HARVARD YARD,CAMBRIDGE,Officer dispatched to a report of two individuals engaged in suspicious activity. Officer arrived and reported that the individuals were gone on arrival.,42.3743896,-71.1162491
09-28-2019,6,12:00 AM,LOUD PARTY,CLOSED,64 LINNAEAN ST,,,42.381808,-71.1255378
09-28-2019,6,12:18 AM,NOISE COMPLAINT,CLOSED,95 PRESCOTT ST,,,42.3749324,-71.1136772
09-28-2019,6,1:50 AM,REMOVE GROUP,CLOSED,19 WARE ST REMOVE GROUP,,,,
09-28-2019,6,9:19 AM,THEFT REPORT,OPEN,32 MILL ST,,,42.3702025,-71.1191008
09-28-2019,6,11:30 AM,THEFT REPORT,CLOSED,51 BRATTLE ST,,,42.3744925,-71.121526
09-28-2019,6,11:27 AM,SUSPICIOUS ACTIVITY,CLOSED,1 WESTERN AVE SUSPICIOUS ACTIVITY,,,42.3646446,-71.1189057
09-27-2019,5,12:06 AM,UNWANTED GUEST,CLOSED,677 HUNTINGTON AVE UNWANTED GUEST,,"Officers dispatched to a report of an unwanted guest sleeping near the building. Officers arrived, located the individual, and sent them on their way.",42.3355027,-71.1022265
09-27-2019,5,8:31 AM,VANDALISM,CLOSED,401 PARK DR,,Officer dispatched to take a report of vandalism done to a soap dispenser in a restroom of the building.,42.3448472,-71.1023307
09-27-2019,5,11:29 AM,TRESPASS WARNING,CLOSED,5 JAMES ST,,"Officers dispatched to a report of an unwanted guest. Officers arrived, located the individual a short distance away, and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results. The individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",42.3876278,-71.0939562
09-27-2019,5,12:29 PM,THEFT REPORT,OPEN,900 MEMORIAL DR,,"Officer took a walk-in report of two stolen packages containing an Apple Airpod case valued at $9.00, two candles valued at $6.00, and a dress valued at $20.00.",42.3662518,-71.1152777
09-27-2019,5,4:02 PM,THEFT REPORT,CLOSED,35 HARVARD WAY,,"Officer dispatched to take a report of a stolen unattended and unsecured silver Cannondale bicycle valued at $3,000.00.",42.3658878,-71.1221003
09-27-2019,5,6:04 PM,SUSPICIOUS ACTIVITY,CLOSED,79 N HARVARD ST,,Officers dispatched to a report of an individual urinating in public. Officers arrived and reported that all was in order.,42.3667301,-71.127491
09-27-2019,5,8:03 PM,SUSPICIOUS ACTIVITY,CLOSED,79 N HARVARD ST,,"Officers dispatched to a report of two individuals engaged in suspicious activity. Officers arrived, located the individuals, and sent them on their way.",42.3667301,-71.127491
09-26-2019,4,9:25 AM,SUSPICIOUS ACTIVITY,OPEN,12 QUINCY ST,CAMBRIDGE,Officer dispatched to take a report of a bias-related note.,42.3725819,-71.1145547
09-26-2019,4,11:21 AM,REMOVE GROUP,CLOSED,19 WARE ST REMOVE GROUP,CAMBRIDGE,"Officers dispatched to a report of several individuals behind the building. Officers arrived, located the individuals, and sent them on their way.",42.3733735,-71.1129407
09-26-2019,4,12:11 PM,FIELD INTERVIEW,CLOSED,807 MASSACHUSETTS AVE,CAMBRIDGE,"Officer dispatched to a report of an individual stating that they had an active warrant. Officer arrived, located the individual, and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results. The individual was then sent on their way.",42.3670885,-71.1055904
09-26-2019,4,1:11 PM,MOTOR VEHICLE ACCIDENT,CLOSED,38 OXFORD ST,CAMBRIDGE,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,42.3799067,-71.1145981
09-26-2019,4,1:22 PM,VANDALISM,CLOSED,677 HUNTINGTON AVE,BOSTON,Officer dispatched to take a report of vandalism in the building.,42.335292,-71.102632
09-26-2019,4,5:47 PM,ASSIST CAMBRIDGE POLICE,CLOSED,1384 MASSACHUSETTS AVE ASSIST CAMBRIDGE POLICE,CAMBRIDGE,"Officers dispatched to a report of an armed robbery. Officers arrived and reported that Cambridge Police was on scene. Officers and Cambridge Police then searched the area for the individual with negative results. Several hours later, Cambridge Police reported that one suspect was taken into custody.",42.3672909,-71.0861288
09-26-2019,4,6:11 PM,UNWANTED GUEST,CLOSED,190 LONGWOOD AVE,BOSTON,Officers dispatched to a report of an individual smoking a cigar in the building. Officers arrived and reported that the individual was no longer smoking a cigar and not located on University property.,42.3358209,-71.1023117
09-26-2019,4,9:23 PM,THEFT REPORT,OPEN,1545 MASSACHUSETTS AVE,CAMBRIDGE,Officer dispatched to take a report of a stolen unattended and unsecured Apple Macbook laptop valued at $900.00.,42.3779522,-71.1185219
09-26-2019,4,10:01 PM,THEFT REPORT,CLOSED,14 APPIAN WAY,CAMBRIDGE,"Officer dispatched to take a report of a stolen cream All City bicycle valued at $1,754.00 and a helmet valued at $60.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a U-lock valued at $50.00, which was also stolen.",42.3754134,-71.1212954
09-25-2019,3,12:26 AM,NOISE COMPLAINT,CLOSED,22 PRESCOTT ST,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,42.373846,-71.1134576
09-25-2019,3,12:54 AM,SUSPICIOUS ACTIVITY,CLOSED,6 HARVARD YARD,CAMBRIDGE,"Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived, searched for the individual, and reported that they were gone on arrival.",42.3743896,-71.1162491
09-25-2019,3,7:52 AM,UNWANTED GUEST,CLOSED,8 STORY ST UNWANTED GUEST,CAMBRIDGE,"Officer dispatched to a report of an unwanted guest sleeping near the building. Officer arrived, located the individual, and sent them on their way.",42.3739234,-71.1220834
09-25-2019,3,11:34 AM,SUSPICIOUS ACTIVITY,CLOSED,19 WARE ST SUSPICIOUS ACTIVITY,CAMBRIDGE,Officers dispatched to a report of several individuals possibly smoking marijuana in the area. Officers arrived and reported that the individuals were gone on arrival.,,
09-25-2019,3,1:32 PM,THEFT REPORT,CLOSED,39 HOLYOKE ST,CAMBRIDGE,Officer dispatched to take a report of stolen U.S. currency valued at $15.00.,42.3713565,-71.1194069
09-25-2019,3,2:59 PM,THEFT REPORT,CLOSED,20 EVERETT ST,CAMBRIDGE,"Officers dispatched to a report of two individuals possibly attempting to steal a bicycle. Officers arrived, searched for the individuals, and reported that they were gone on arrival.",42.3795808,-71.1177402
09-25-2019,3,10:13 PM,UNWANTED GUEST,CLOSED,107 AVE LOUIS PASTEUR,BOSTON,Officers dispatched to a report of an unwanted guest in the lobby of the building. Officers arrived and reported that the individual was gone on arrival.,42.3374553,-71.103876
09-25-2019,3,10:22 PM,UNWANTED GUEST,CLOSED,260 LONGWOOD AVE,BOSTON,"Officer dispatched to a report of an individual who may not have authorization to be in the building. Officer arrived, located the individual, and sent them on their way.",42.3369505,-71.1041268
09-25-2019,3,11:23 PM,MOTOR VEHICLE ACCIDENT,CLOSED,7 FELTON ST,CAMBRIDGE,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,42.3745438,-71.1128405
09-24-2019,2,8:44 AM,ASSAULT REPORT,OPEN,15 HARVARD WAY,ALLSTON,Officer took a report of an assault.,42.354078,-71.1333166
09-24-2019,2,9:25 AM,THEFT REPORT,OPEN,41 KIRKLAND ST,CAMBRIDGE,Officer took a walk-in report of a stolen package containing a black Apple iPhone 7 valued at $400.00.,42.3772966,-71.1123666
09-24-2019,2,9:47 AM,PM,OPEN,90 MT AUBURN ST THEFT REPORT,CAMBRIDGE,"Officer dispatched to take a report of a stolen gray triathlon bicycle valued at $1,000.00. The reporting individual informed the officer that their bicycle was secured to the bike rack with a cable lock that was damaged and left at the scene.",42.3723049,-71.1198821
09-24-2019,2,2:08 PM,THEFT REPORT,CLOSED,117 WESTERN AVE,ALLSTON,"Officer dispatched to a report of an individual engaged in suspicious activity. Officer arrived and spoke to the reporting party who stated that the individual had just left the building without paying for their food. Officer then located the individual a short distance away and conducted a field interview. During the field interview, the individual made several statements pertaining to their involvement in the aforementioned theft. The individual was run for wants/warrants with negative results. At the conclusion of the incident, the individual was issued a verbal trespass warning for all Harvard University property and sent on their way.",42.3651974,-71.1221999
09-24-2019,2,2:12 PM,UNWANTED GUEST,CLOSED,45 SHATTUCK ST,BOSTON,Officer dispatched to take a report of an unwanted guest.,42.336069,-71.1050819
09-24-2019,2,3:21 PM,DEMONSTRATION,CLOSED,1 HARVARD YARD,CAMBRIDGE,Officer dispatched to monitor a demonstration that occurred without incident.,42.374896,-71.1160649
09-24-2019,2,4:04 PM,UNWANTED GUEST,CLOSED,1737 CAMBRIDGE ST,CAMBRIDGE,"Officer dispatched to a report of an individual engaged in suspicious activity in the building. Officer arrived, searched for the individual, and reported that they were gone on arrival.",42.375638,-71.1132356
09-24-2019,2,6:34 PM,SKATEBOARD/BIKE COMPLAINT,CLOSED,1 OXFORD ST,CAMBRIDGE,"Officer dispatched to a report of several individuals skateboarding in the area. Officer arrived, located the individuals, and sent them on their way.",42.376431,-71.1169182
09-24-2019,2,7:42 PM,PEEPING AND SPYING,OPEN,16 HARVARD YARD,CAMBRIDGE,Officer took a report of peeping and spying.,42.3743896,-71.1162491
09-23-2019,1,1:07 AM,NOISE COMPLAINT,CLOSED,5 HARVARD YARD,CAMBRIDGE,Officer dispatched to a report of a noise complaint. Officer arrived and advised the occupants to keep the noise level down.,42.3743896,-71.1162491
09-23-2019,1,8:22 AM,UNWANTED GUEST,CLOSED,79 N HARVARD ST,ALLSTON,"Officers dispatched to a report of an unwanted guest sleeping in the dugout. Officers arrived, located the individual, and sent them on their way.",42.3667301,-71.127491
09-23-2019,1,8:27 AM,SUSPICIOUS CALL/TEXT/MAIL/SOCI,CLOSED,25 HARVARD WAY,ALLSTON,Officer dispatched to take a report of a suspicious email.,42.354609,-71.132966
09-23-2019,1,8:41 AM,ANNOYING CALLS/TEXTS/EMAILS,CLOSED,6 MASSACHUSETTS AVE,CAMBRIDGE,Officer took a walk-in report of annoying emails.,42.3574583,-71.0932133
09-23-2019,1,1:08 PM,THEFT REPORT,OPEN,651 HUNTINGTON AVE,BOSTON,"Officer dispatched to take a report of a stolen unattended and unsecured Apple Macbook laptop valued at $1,000.00.",42.3357189,-71.1015243
09-23-2019,1,2:36 PM,HARASSMENT,CLOSED,90 SMITH ST,BOSTON,Officer took a report of harassment.,42.3338601,-71.0999631
09-23-2019,1,5:03 PM,ASSIST STATE POLICE,CLOSED,19 MEMORIAL DRIVE AND RIVER STREET ASSIST STATE POLICE,CAMBRIDGE,Officer while on patrol reported a motor vehicle accident with no personal injuries. Officer arrived and reported that State Police was on scene shortly thereafter and took jurisdiction over the incident.,42.360091,-71.09416
09-23-2019,1,8:08 PM,ASSAULT REPORT,CLOSED,1350 MASSACHUSETTS AVE,CAMBRIDGE,"Officer while on patrol received a report of an individual in need of assistance. Officer arrived and reported two individuals engaged in a verbal dispute. Officer approached the individuals and conducted a field interview. During the field interview, the reporting party informed the officer that the other individual had made threatening statements and gestures during the aforementioned dispute which placed them in fear of being struck. The individual was then run for wants/warrants with negative results. At the conclusion of the incident, the individual was issued a verbal trespass warning for all Harvard University property and sent on their way.",42.372708,-71.1188362
09-22-2019,0,12:23 AM,NOISE COMPLAINT,CLOSED,5 COWPERTHWAITE ST NOISE COMPLAINT,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,42.3690774,-71.1155994
09-22-2019,0,1:10 AM,MEMORIAL DR ASSIST STATE POLICE,CLOSED,19 MEMORIAL DR ASSIST STATE POLICE,CAMBRIDGE,Officer while operating their marked police cruiser reported that a motor vehicle changed lanes without using a directional signal and almost caused a traffic accident. Officer stopped the motor vehicle and conducted a field interview with the operator. Officer reported that the operator had been driving without the assistance of their glasses and would seek alternative transportation to their destination.,42.3583814,-71.0881118
09-22-2019,0,2:27 AM,NOISE COMPLAINT,CLOSED,107 SHEPARD ST,CAMBRIDGE,Officer dispatched to a report of a noise complaint. Officer arrived and reported that the area was quiet.,42.380139,-71.1250103
09-22-2019,0,2:29 AM,ASSIST STATE POLICE,CLOSED,19 RENA ST / TRAVIS ST ASSIST STATE POLICE,ALLSTON,Officer dispatched to assist State Police with an individual who fled the area following a motor vehicle accident.,42.3613488,-71.1292578
09-22-2019,0,8:56 PM,SUSPICIOUS ACTIVITY,CLOSED,10 PRESCOTT ST,CAMBRIDGE,Officer dispatched to take a report of an individual who attempted to piggyback into the building.,42.3729039,-71.1138121
09-22-2019,0,11:20 PM,NOISE COMPLAINT,CLOSED,19 WARE ST NOISE COMPLAINT,CAMBRIDGE,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,42.3733735,-71.1129407
09-22-2019,0,11:54 PM,TRESPASS WARNING,CLOSED,40 DEWOLFE ST,CAMBRIDGE,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results. The individual was then issued a verbal trespass warning for all Harvard University property and subsequently transported",42.3692976,-71.1160718
09-21-2019,6,2:14 AM,ASSIST BOSTON POLICE,CLOSED,112 WESTERN AVE,ALLSTON,Officer dispatched to a report of a taxi cab fare evasion. Officer arrived and reported that Boston Police was on scene and that the fare was paid shortly thereafter.,42.3632009,-71.124311
09-21-2019,6,2:33 AM,ASSAULT REPORT,OPEN,60 LINNAEAN ST,CAMBRIDGE,Officer took a report of an assault.,42.3812398,-71.1246959
09-21-2019,6,4:49 PM,ASSIST CAMBRIDGE POLICE,CLOSED,19 MT AUBURN ST / DUNSTER ST ASSIST CAMBRIDGE POLICE,CAMBRIDGE,Officer took a report of a stolen bicycle valued at an unknown amount.,42.3707488,-71.1146796
